Furniture_Type,Material,Condition,Age_Years,Original_Price_INR,Brand,Location_Type,Selling_Price_INR
Bed,Metal,Average,14,6138,Urban Ladder,Semi-Urban,42705
Desk,Glass,Good,8,52327,Godrej,Rural,43274
Chair,Plastic,Good,5,89525,IKEA,Semi-Urban,53766
Chair,Wood,Average,11,71698,Godrej,Semi-Urban,63405
Sofa,Plastic,Good,1,5752,Nilkamal,Semi-Urban,10862
Chair,Metal,Good,6,28765,Urban Ladder,Semi-Urban,15755
Wardrobe,Metal,Poor,14,3837,IKEA,Urban,28638
Chair,Plastic,Excellent,12,80579,Nilkamal,Urban,52845
Bed,Glass,Average,2,59997,IKEA,Urban,13275
Bed,Metal,Poor,8,38501,Local,Urban,25295
Cabinet,Plastic,Good,5,47770,Urban Ladder,Semi-Urban,8450
Bed,Wood,Average,7,71189,Urban Ladder,Urban,28437
Cabinet,Plastic,Average,12,63594,Nilkamal,Semi-Urban,69652
Bed,Plastic,Excellent,12,88269,Nilkamal,Urban,61368
Wardrobe,Fabric,Excellent,0,40448,Nilkamal,Rural,61425
Cabinet,Metal,Average,1,87306,Urban Ladder,Rural,13326
Table,Glass,Excellent,5,40959,Local,Rural,55221
Desk,Glass,Excellent,2,52525,Urban Ladder,Rural,31661
Sofa,Fabric,Good,0,81340,Nilkamal,Urban,17866
Bed,Glass,Excellent,5,84746,Godrej,Rural,14267
Chair,Plastic,Excellent,4,37029,Local,Rural,64346
Bed,Fabric,Poor,12,76169,Urban Ladder,Semi-Urban,30759
Chair,Wood,Good,8,11312,Godrej,Rural,13996
Desk,Metal,Good,5,41300,Local,Urban,34304
Desk,Metal,Average,4,57994,Urban Ladder,Semi-Urban,49208
Desk,Metal,Excellent,0,88765,Nilkamal,Urban,10849
Chair,Plastic,Poor,14,5884,Urban Ladder,Semi-Urban,65399
Bed,Wood,Poor,0,23522,Local,Urban,65635
Desk,Fabric,Good,10,8623,Nilkamal,Rural,55482
Wardrobe,Fabric,Excellent,0,14460,IKEA,Semi-Urban,25199
Cabinet,Metal,Poor,6,13234,Godrej,Rural,27496
Chair,Wood,Average,5,87039,Nilkamal,Urban,10198
Chair,Wood,Excellent,13,66578,Nilkamal,Urban,27690
Bed,Wood,Excellent,4,85410,Local,Semi-Urban,47385
Chair,Glass,Excellent,3,49905,Local,Urban,2472
Chair,Glass,Poor,10,32420,Godrej,Urban,20215
Desk,Metal,Good,13,38813,Local,Semi-Urban,33506
Bed,Wood,Good,12,3382,Nilkamal,Rural,57072
Desk,Wood,Average,12,41353,Godrej,Semi-Urban,19330
Cabinet,Fabric,Poor,10,12369,Godrej,Urban,33607
Cabinet,Fabric,Excellent,7,37985,Urban Ladder,Urban,53605
Desk,Metal,Average,10,45255,Nilkamal,Semi-Urban,65530
Cabinet,Wood,Average,7,61261,Nilkamal,Semi-Urban,68869
Bed,Metal,Good,4,64590,Local,Rural,23633
Sofa,Fabric,Excellent,14,48486,Nilkamal,Urban,3907
Desk,Fabric,Excellent,3,50883,Local,Urban,4805
Wardrobe,Glass,Poor,14,58318,Nilkamal,Rural,33153
Wardrobe,Metal,Poor,1,54566,Urban Ladder,Semi-Urban,64191
Chair,Metal,Poor,6,3650,Nilkamal,Semi-Urban,25949
Cabinet,Wood,Average,4,43937,Urban Ladder,Rural,35624
Wardrobe,Wood,Excellent,2,24299,Nilkamal,Semi-Urban,20137
Chair,Glass,Good,8,29862,Nilkamal,Rural,19006
Sofa,Plastic,Average,8,19312,IKEA,Semi-Urban,47616
Bed,Plastic,Average,10,13943,Nilkamal,Semi-Urban,58210
Bed,Plastic,Good,14,71734,Urban Ladder,Semi-Urban,19393
Bed,Metal,Good,10,20325,Godrej,Rural,35261
Wardrobe,Metal,Poor,9,77268,Urban Ladder,Rural,34322
Sofa,Fabric,Good,13,74341,Nilkamal,Rural,24613
Wardrobe,Metal,Good,10,55879,Local,Urban,40427
Cabinet,Metal,Good,7,87449,IKEA,Urban,61586
Wardrobe,Metal,Good,0,69738,Local,Rural,51215
Sofa,Glass,Poor,11,67010,IKEA,Urban,49114
Sofa,Metal,Average,2,85570,IKEA,Urban,31093
Cabinet,Wood,Excellent,1,6006,Local,Semi-Urban,38388
Sofa,Wood,Excellent,3,64876,Nilkamal,Semi-Urban,12068
Sofa,Fabric,Average,1,66228,Urban Ladder,Semi-Urban,4519
Bed,Glass,Excellent,11,55056,Local,Urban,4444
Cabinet,Wood,Excellent,10,11505,Godrej,Urban,48027
Table,Glass,Average,7,23498,IKEA,Rural,54643
Table,Glass,Excellent,0,19505,Urban Ladder,Urban,26617
Sofa,Fabric,Excellent,3,65518,Godrej,Urban,61417
Table,Glass,Average,4,9603,Urban Ladder,Rural,2653
Table,Metal,Excellent,13,27744,Nilkamal,Rural,44206
Sofa,Glass,Good,9,72218,Godrej,Rural,64968
Table,Fabric,Average,3,16460,Local,Semi-Urban,60143
Wardrobe,Fabric,Poor,7,56273,Urban Ladder,Rural,21616
Chair,Fabric,Excellent,1,82095,Local,Semi-Urban,9219
Cabinet,Wood,Poor,8,31544,Local,Urban,37535
Chair,Metal,Excellent,1,9864,Urban Ladder,Urban,31054
Sofa,Wood,Good,1,82770,Urban Ladder,Semi-Urban,2722
Bed,Plastic,Average,12,31593,IKEA,Semi-Urban,6140
Cabinet,Metal,Poor,1,47657,IKEA,Semi-Urban,6414
Sofa,Glass,Average,11,4729,Godrej,Urban,51253
Bed,Fabric,Poor,9,47515,Godrej,Urban,29237
Chair,Plastic,Excellent,7,57281,Godrej,Rural,39248
Sofa,Metal,Good,2,37936,IKEA,Rural,12586
Cabinet,Wood,Poor,9,15413,Local,Urban,19695
Cabinet,Fabric,Poor,10,50652,Nilkamal,Rural,49390
Desk,Wood,Good,13,32764,Nilkamal,Rural,63891
Wardrobe,Metal,Good,9,66784,Urban Ladder,Semi-Urban,7187
Table,Metal,Good,14,48741,IKEA,Urban,11464
Bed,Plastic,Good,13,76204,Urban Ladder,Semi-Urban,47746
Desk,Glass,Good,7,81796,Nilkamal,Urban,55296
Table,Wood,Average,6,79844,Urban Ladder,Urban,40173
Table,Plastic,Excellent,9,62773,IKEA,Semi-Urban,47523
Sofa,Fabric,Excellent,3,77432,IKEA,Urban,6861
Table,Glass,Poor,6,22283,IKEA,Semi-Urban,36449
Wardrobe,Plastic,Good,10,88127,Nilkamal,Semi-Urban,26984
Cabinet,Wood,Average,7,28282,IKEA,Urban,68958
Desk,Metal,Average,5,67560,Godrej,Urban,36254
Table,Fabric,Poor,5,82455,Godrej,Semi-Urban,29717
Sofa,Wood,Good,2,76210,IKEA,Rural,57591
Wardrobe,Glass,Excellent,4,55984,Godrej,Rural,2000
Chair,Glass,Good,9,21392,IKEA,Urban,44282
Cabinet,Metal,Average,1,7721,Nilkamal,Urban,46806
Cabinet,Metal,Good,11,32197,Godrej,Rural,19111
Desk,Fabric,Excellent,4,29173,Nilkamal,Urban,3555
Cabinet,Fabric,Excellent,4,4066,Godrej,Urban,69191
Table,Metal,Poor,6,62418,Local,Rural,48324
Sofa,Metal,Average,3,70454,Local,Urban,11569
Cabinet,Glass,Good,13,77993,Nilkamal,Rural,66797
Cabinet,Metal,Good,10,79262,Godrej,Rural,62905
Chair,Plastic,Poor,5,17282,Local,Rural,45324
Chair,Wood,Poor,8,27815,IKEA,Urban,55133
Bed,Metal,Poor,3,25594,Urban Ladder,Semi-Urban,63122
Wardrobe,Fabric,Average,10,75984,Local,Semi-Urban,58537
Table,Plastic,Good,13,59511,Local,Semi-Urban,22994
Cabinet,Fabric,Poor,5,69678,IKEA,Urban,7223
Cabinet,Plastic,Average,12,88768,Local,Urban,66238
Sofa,Metal,Good,11,69951,Local,Urban,37857
Bed,Wood,Excellent,8,9374,Local,Urban,19157
Wardrobe,Fabric,Poor,9,29974,Godrej,Semi-Urban,48027
Bed,Plastic,Average,11,72178,Local,Rural,37208
Desk,Glass,Good,0,86472,Urban Ladder,Urban,67456
Wardrobe,Metal,Good,7,34914,Godrej,Urban,37347
Cabinet,Wood,Poor,0,53014,Godrej,Urban,63059
Cabinet,Metal,Poor,3,64379,Nilkamal,Rural,55491
Wardrobe,Glass,Good,2,12347,Local,Semi-Urban,64393
Cabinet,Wood,Average,3,62015,Urban Ladder,Urban,52986
Table,Glass,Excellent,13,69864,Urban Ladder,Semi-Urban,2918
Wardrobe,Metal,Good,6,53181,Nilkamal,Urban,69077
Bed,Plastic,Average,12,21760,Urban Ladder,Semi-Urban,60629
Wardrobe,Metal,Poor,13,88161,Godrej,Urban,64249
Cabinet,Metal,Good,8,80599,IKEA,Semi-Urban,21452
Table,Metal,Poor,8,6140,Godrej,Urban,34639
Table,Fabric,Excellent,9,85801,IKEA,Urban,41845
Desk,Glass,Poor,0,77266,Urban Ladder,Semi-Urban,56027
Bed,Glass,Excellent,14,65176,Local,Semi-Urban,53175
Chair,Glass,Poor,9,17057,IKEA,Rural,7150
Chair,Fabric,Poor,0,72093,Godrej,Rural,49215
Wardrobe,Plastic,Excellent,8,32114,Godrej,Rural,2918
Desk,Metal,Poor,3,81747,Godrej,Rural,66670
Sofa,Plastic,Average,11,59215,Godrej,Semi-Urban,37469
Wardrobe,Fabric,Poor,12,21580,Nilkamal,Rural,26702
Desk,Glass,Good,13,86870,Urban Ladder,Urban,47852
Bed,Metal,Poor,2,12802,Local,Semi-Urban,5807
Bed,Wood,Average,12,72543,Nilkamal,Urban,60843
Bed,Wood,Good,8,7675,Urban Ladder,Rural,69379
Bed,Plastic,Average,4,17058,IKEA,Rural,59853
Bed,Glass,Good,11,52001,Nilkamal,Rural,49569
Desk,Wood,Poor,5,40519,Nilkamal,Semi-Urban,23882
Desk,Plastic,Average,0,74755,Nilkamal,Urban,46610
Table,Fabric,Poor,0,18445,Nilkamal,Urban,12504
Chair,Plastic,Good,12,76954,IKEA,Semi-Urban,56721
Cabinet,Plastic,Average,13,31695,Godrej,Rural,20768
Bed,Plastic,Excellent,6,54227,Nilkamal,Rural,48189
Sofa,Metal,Average,9,82992,Urban Ladder,Semi-Urban,43775
Cabinet,Plastic,Poor,14,33185,Godrej,Urban,22732
Desk,Plastic,Excellent,7,48908,IKEA,Urban,46002
Sofa,Metal,Excellent,10,46631,Local,Urban,11246
Sofa,Metal,Good,7,50993,IKEA,Urban,67461
Sofa,Fabric,Excellent,13,5078,Local,Rural,30570
Table,Glass,Excellent,12,80609,Urban Ladder,Rural,8597
Desk,Wood,Good,6,26778,Local,Semi-Urban,26379
Sofa,Wood,Average,12,26397,Nilkamal,Semi-Urban,31908
Bed,Plastic,Poor,10,71857,Godrej,Semi-Urban,8998
Wardrobe,Fabric,Average,8,15337,Godrej,Rural,7367
Sofa,Plastic,Excellent,0,9011,Nilkamal,Rural,13640
Table,Wood,Poor,1,42855,Godrej,Rural,59952
Cabinet,Metal,Average,12,78532,IKEA,Semi-Urban,6838
Desk,Glass,Poor,2,49845,Nilkamal,Rural,19781
Table,Fabric,Excellent,12,23046,Nilkamal,Urban,39088
Sofa,Metal,Average,11,9618,Godrej,Rural,18598
Desk,Glass,Poor,12,75435,Local,Urban,69908
Wardrobe,Fabric,Poor,4,34322,Urban Ladder,Urban,40199
Sofa,Fabric,Average,3,36797,Local,Urban,15053
Table,Wood,Average,3,18128,IKEA,Rural,19086
Chair,Metal,Excellent,14,36179,Nilkamal,Semi-Urban,56736
Bed,Fabric,Good,7,70517,Nilkamal,Urban,7269
Cabinet,Fabric,Poor,7,37073,IKEA,Urban,48085
Table,Glass,Average,10,81014,Urban Ladder,Rural,63563
Desk,Wood,Average,6,40363,Nilkamal,Rural,21863
Sofa,Plastic,Average,0,14697,Local,Urban,41420
Bed,Wood,Poor,9,18422,IKEA,Semi-Urban,28842
Sofa,Plastic,Excellent,14,41380,Nilkamal,Rural,35242
Desk,Metal,Good,3,63857,Local,Urban,30214
Sofa,Metal,Poor,0,70573,IKEA,Semi-Urban,69594
Chair,Fabric,Excellent,10,78058,IKEA,Rural,12201
Bed,Metal,Poor,13,24259,IKEA,Semi-Urban,68356
Bed,Fabric,Poor,4,80534,Urban Ladder,Urban,60423
Desk,Wood,Average,2,75622,IKEA,Semi-Urban,25134
Cabinet,Metal,Excellent,2,4149,Godrej,Urban,59100
Chair,Wood,Average,3,25792,Godrej,Rural,2740
Table,Wood,Average,1,19390,IKEA,Urban,53221
Sofa,Metal,Excellent,6,37204,Nilkamal,Urban,4822
Wardrobe,Wood,Average,11,39018,Godrej,Rural,57115
Sofa,Metal,Average,12,85614,Local,Urban,57206
Sofa,Metal,Good,3,24471,Local,Semi-Urban,66335
Table,Metal,Excellent,4,17263,Nilkamal,Rural,12078
Sofa,Plastic,Excellent,11,63309,Local,Semi-Urban,3913
Chair,Wood,Average,13,55451,Nilkamal,Rural,16269
Chair,Glass,Average,1,73379,Local,Urban,4405
Bed,Metal,Excellent,5,80969,IKEA,Semi-Urban,12188
Desk,Wood,Excellent,8,14559,Local,Rural,4054
Cabinet,Fabric,Poor,7,66728,IKEA,Semi-Urban,41711
Wardrobe,Metal,Excellent,7,7952,Local,Rural,22166
Sofa,Metal,Poor,1,64726,Local,Rural,39924
Sofa,Glass,Average,14,43610,Local,Semi-Urban,35796
Table,Plastic,Good,3,89467,IKEA,Semi-Urban,35118
Desk,Plastic,Good,7,5153,Local,Semi-Urban,65595
Chair,Metal,Poor,10,11019,Local,Semi-Urban,15132
Wardrobe,Wood,Average,0,88409,Urban Ladder,Rural,47772
Bed,Fabric,Average,7,40929,IKEA,Semi-Urban,6174
Chair,Fabric,Average,2,20028,Godrej,Semi-Urban,38677
Desk,Wood,Excellent,7,37620,Nilkamal,Semi-Urban,22410
Cabinet,Metal,Average,5,51474,Urban Ladder,Semi-Urban,43839
Bed,Fabric,Excellent,6,13623,Local,Semi-Urban,13190
Cabinet,Plastic,Poor,1,88504,Godrej,Semi-Urban,68451
Table,Wood,Good,14,6809,Godrej,Urban,52921
Table,Glass,Poor,0,54046,Local,Urban,8770
Sofa,Metal,Average,5,65496,Local,Rural,16153
Cabinet,Wood,Average,11,34739,Urban Ladder,Semi-Urban,20691
Desk,Fabric,Poor,2,56452,IKEA,Semi-Urban,31869
Wardrobe,Metal,Excellent,3,76324,Urban Ladder,Rural,37876
Bed,Plastic,Excellent,12,9977,IKEA,Semi-Urban,58485
Chair,Metal,Excellent,14,37838,Godrej,Semi-Urban,31414
Desk,Metal,Good,8,71192,Nilkamal,Semi-Urban,53465
Desk,Plastic,Good,2,7134,Local,Urban,11694
Table,Plastic,Average,1,56420,Urban Ladder,Semi-Urban,24754
Cabinet,Metal,Poor,1,32431,Godrej,Urban,56363
Sofa,Plastic,Poor,1,72020,Urban Ladder,Semi-Urban,52771
Sofa,Wood,Average,5,52565,IKEA,Semi-Urban,64538
Bed,Plastic,Excellent,1,59993,Local,Rural,55737
Table,Plastic,Good,10,61035,IKEA,Rural,61990
Desk,Metal,Poor,6,50312,IKEA,Semi-Urban,14397
Wardrobe,Wood,Average,6,41916,IKEA,Semi-Urban,57392
Table,Glass,Excellent,6,23693,Godrej,Semi-Urban,32013
Bed,Glass,Excellent,13,41559,Local,Urban,35206
Bed,Fabric,Good,12,85839,Nilkamal,Semi-Urban,11376
Table,Plastic,Good,1,53058,Urban Ladder,Rural,40008
Bed,Plastic,Average,6,88130,IKEA,Urban,34407
Table,Wood,Average,9,87639,Local,Semi-Urban,25299
Chair,Glass,Excellent,7,14858,Urban Ladder,Urban,64622
Table,Fabric,Excellent,7,83538,Local,Urban,53554
Cabinet,Wood,Poor,13,73431,Urban Ladder,Urban,30386
Table,Plastic,Excellent,1,46324,Local,Urban,61280
Bed,Glass,Average,4,52944,Nilkamal,Semi-Urban,34232
Cabinet,Fabric,Good,13,78455,Local,Rural,11144
Bed,Metal,Average,5,47187,Local,Urban,68753
Sofa,Glass,Poor,8,31147,IKEA,Rural,36467
Sofa,Fabric,Poor,5,80914,IKEA,Urban,2928
Cabinet,Wood,Good,9,81593,IKEA,Rural,68347
Chair,Metal,Average,5,4360,Local,Urban,40544
Sofa,Fabric,Poor,9,5048,Nilkamal,Urban,45249
Table,Fabric,Average,9,42020,Urban Ladder,Semi-Urban,4606
Bed,Plastic,Poor,14,46935,IKEA,Semi-Urban,37182
Sofa,Glass,Good,5,25482,Godrej,Urban,32563
Sofa,Plastic,Poor,8,35973,Local,Rural,18367
Chair,Metal,Average,9,18185,Nilkamal,Semi-Urban,51039
Cabinet,Fabric,Average,6,22699,Nilkamal,Semi-Urban,4465
Cabinet,Plastic,Poor,0,58885,IKEA,Semi-Urban,69782
Desk,Glass,Excellent,0,44582,IKEA,Semi-Urban,41446
Chair,Metal,Good,13,21061,Godrej,Urban,55328
Table,Wood,Good,3,80015,Godrej,Rural,60502
Cabinet,Plastic,Poor,14,47597,IKEA,Semi-Urban,55113
Bed,Metal,Poor,11,13892,Urban Ladder,Semi-Urban,18304
Chair,Wood,Excellent,1,26931,IKEA,Rural,62831
Sofa,Plastic,Good,2,27654,IKEA,Semi-Urban,23758
Bed,Metal,Excellent,11,61820,Nilkamal,Rural,30266
Bed,Metal,Good,6,56886,IKEA,Urban,52471
Sofa,Plastic,Poor,13,75470,IKEA,Semi-Urban,50559
Chair,Metal,Good,6,88148,IKEA,Rural,51582
Sofa,Fabric,Good,13,77842,Urban Ladder,Semi-Urban,63620
Desk,Plastic,Good,11,68324,Nilkamal,Urban,62230
Bed,Metal,Excellent,2,85080,Local,Rural,19237
Wardrobe,Wood,Excellent,12,68027,Local,Rural,67692
Wardrobe,Wood,Good,1,4425,Local,Rural,57081
Table,Fabric,Average,14,4733,Local,Semi-Urban,53519
Cabinet,Plastic,Excellent,12,48375,Nilkamal,Rural,6514
Sofa,Metal,Poor,12,67411,IKEA,Rural,36758
Sofa,Metal,Poor,0,13603,Local,Rural,67910
Table,Wood,Good,8,15152,IKEA,Urban,12799
Table,Fabric,Poor,9,18801,Local,Rural,5663
Table,Wood,Excellent,2,87442,Urban Ladder,Rural,27509
Bed,Wood,Average,8,59318,IKEA,Rural,64970
Desk,Fabric,Average,14,19985,Nilkamal,Urban,66969
Sofa,Plastic,Average,14,24068,Urban Ladder,Rural,30105
Bed,Metal,Poor,3,16531,Urban Ladder,Semi-Urban,58375
Table,Plastic,Good,14,37288,Nilkamal,Rural,57277
Sofa,Glass,Poor,9,69653,Urban Ladder,Semi-Urban,16124
Bed,Glass,Good,5,43068,IKEA,Urban,51226
Desk,Glass,Average,12,15459,Godrej,Urban,53547
Bed,Fabric,Excellent,6,89641,Godrej,Rural,65354
Desk,Wood,Poor,9,88000,Local,Rural,56822
Table,Plastic,Excellent,13,35554,Local,Urban,33119
Desk,Metal,Average,5,73313,IKEA,Urban,68624
Sofa,Glass,Good,0,79968,Nilkamal,Urban,56525
Table,Plastic,Excellent,5,17271,IKEA,Semi-Urban,27554
Sofa,Glass,Poor,10,6801,Local,Semi-Urban,43264
Wardrobe,Glass,Excellent,13,75593,Urban Ladder,Rural,50218
Chair,Metal,Excellent,5,29511,IKEA,Semi-Urban,44429
Desk,Fabric,Poor,4,76046,IKEA,Urban,1909
Chair,Wood,Good,2,76635,Nilkamal,Rural,44085
Chair,Fabric,Poor,9,83729,Local,Semi-Urban,16884
Desk,Plastic,Average,2,58233,IKEA,Rural,26236
Table,Fabric,Good,10,23011,Urban Ladder,Semi-Urban,41630
Wardrobe,Plastic,Excellent,9,65963,Urban Ladder,Rural,40121
Sofa,Plastic,Poor,12,51900,Godrej,Urban,13558
Bed,Wood,Average,6,23764,Local,Urban,54760
Sofa,Metal,Poor,7,54694,Urban Ladder,Urban,44446
Bed,Wood,Good,13,72986,Nilkamal,Semi-Urban,29502
Sofa,Fabric,Average,2,83085,Local,Rural,22418
Desk,Plastic,Excellent,2,9960,Urban Ladder,Rural,51072
Wardrobe,Glass,Good,6,19583,IKEA,Rural,56423
Bed,Glass,Average,9,75532,Local,Semi-Urban,25307
Cabinet,Plastic,Good,11,87103,Urban Ladder,Urban,64239
Table,Wood,Excellent,6,17201,IKEA,Urban,14818
Sofa,Metal,Average,10,73579,Godrej,Rural,59089
Sofa,Wood,Poor,8,63019,Local,Rural,58301
Bed,Plastic,Poor,13,23420,Local,Semi-Urban,65885
Table,Plastic,Excellent,5,43602,Urban Ladder,Rural,60177
Table,Metal,Average,14,55645,Godrej,Rural,53219
Desk,Fabric,Excellent,12,56124,Nilkamal,Semi-Urban,38482
Cabinet,Fabric,Excellent,6,52031,Urban Ladder,Rural,10449
Desk,Metal,Good,10,15629,Urban Ladder,Urban,17499
Desk,Fabric,Poor,9,60731,Nilkamal,Semi-Urban,56505
Desk,Glass,Excellent,0,31675,Nilkamal,Urban,44570
Desk,Fabric,Good,6,4662,Nilkamal,Rural,25168
Desk,Fabric,Excellent,1,83270,Nilkamal,Rural,2245
Wardrobe,Fabric,Excellent,6,10589,Nilkamal,Semi-Urban,26039
Table,Glass,Excellent,2,52364,IKEA,Semi-Urban,8360
Desk,Fabric,Poor,8,7655,IKEA,Semi-Urban,60467
Table,Glass,Average,12,77285,Nilkamal,Semi-Urban,8535
Table,Metal,Poor,4,13797,Godrej,Rural,53963
Chair,Wood,Good,6,9645,Godrej,Rural,42054
Wardrobe,Metal,Average,7,80431,Nilkamal,Urban,63191
Desk,Wood,Good,12,37762,IKEA,Urban,18621
Sofa,Metal,Excellent,11,50634,Godrej,Semi-Urban,50160
Bed,Wood,Average,1,24432,IKEA,Rural,49449
Cabinet,Wood,Good,10,50890,Urban Ladder,Semi-Urban,19325
Sofa,Plastic,Excellent,0,85394,IKEA,Semi-Urban,34951
Wardrobe,Wood,Good,6,62111,Nilkamal,Semi-Urban,61051
Bed,Wood,Good,14,76769,Local,Semi-Urban,56401
Wardrobe,Plastic,Poor,5,46611,Nilkamal,Semi-Urban,29427
Table,Fabric,Excellent,5,29671,Urban Ladder,Rural,17152
Bed,Fabric,Poor,1,39760,IKEA,Urban,64815
Table,Plastic,Average,2,31233,Godrej,Semi-Urban,65053
Sofa,Glass,Excellent,3,40591,Nilkamal,Rural,38252
Sofa,Wood,Poor,2,70804,Godrej,Semi-Urban,37683
Bed,Wood,Poor,1,53091,IKEA,Rural,40377
Bed,Plastic,Average,2,7438,Urban Ladder,Urban,64024
Desk,Plastic,Good,13,87905,Nilkamal,Urban,30800
Wardrobe,Glass,Good,5,48896,Godrej,Rural,40742
Desk,Fabric,Good,8,14319,Nilkamal,Semi-Urban,13156
Wardrobe,Metal,Average,3,83258,Nilkamal,Urban,28113
Desk,Fabric,Poor,5,9028,Godrej,Semi-Urban,40286
Table,Wood,Excellent,0,28940,Urban Ladder,Semi-Urban,43490
Bed,Plastic,Average,11,11422,Nilkamal,Rural,46994
Sofa,Glass,Good,5,54651,Urban Ladder,Semi-Urban,7647
Wardrobe,Fabric,Good,11,62648,Urban Ladder,Rural,67713
Wardrobe,Glass,Excellent,2,46441,IKEA,Rural,57102
Sofa,Fabric,Average,8,23688,Godrej,Rural,2734
Desk,Wood,Good,3,49280,IKEA,Urban,10828
Wardrobe,Metal,Average,6,17472,Local,Semi-Urban,13904
Cabinet,Glass,Poor,3,83436,IKEA,Rural,41383
Table,Glass,Average,10,38671,Nilkamal,Rural,25066
Bed,Metal,Poor,5,63809,Nilkamal,Semi-Urban,52900
Sofa,Glass,Excellent,13,76299,Nilkamal,Urban,58166
Bed,Glass,Poor,6,13960,Local,Rural,9815
Cabinet,Fabric,Poor,1,79620,Urban Ladder,Rural,22388
Wardrobe,Fabric,Excellent,9,5074,Nilkamal,Rural,30943
Wardrobe,Metal,Good,5,76361,IKEA,Rural,15088
Cabinet,Wood,Excellent,7,37833,Urban Ladder,Semi-Urban,5276
Sofa,Glass,Average,14,38976,IKEA,Rural,65737
Table,Wood,Excellent,12,73210,IKEA,Urban,22373
Chair,Metal,Average,12,68658,Nilkamal,Semi-Urban,21557
Sofa,Metal,Good,14,53108,IKEA,Urban,9835
Chair,Fabric,Average,11,24480,Local,Semi-Urban,9857
